date,entry,exit_price,pnl,win,bars_held,stop_hit,tp_hit,score,rsi,bb_pct,bb_width,vwap_dist,vol_spike,mom3,atr_pct,hour,weekday,above_ema50,above_ema200,ema50_gt_200,fresh_cross,below_vwap
2020-01-02 07:00,7131.31,7125.26,-0.0848,False,2,True,False,2.0,50.79,0.146,0.0033,-0.00102,0.96,-0.00099,0.00113,7,3,0,0,0,0,1
2020-01-02 07:10,7125.26,7116.31,-0.1256,False,2,True,False,3.0,34.71,0.041,0.0038,-0.00156,1.43,-0.0015,0.00113,7,3,0,0,0,0,1
2020-01-02 07:20,7116.31,7110.57,-0.0807,False,7,True,False,3.0,32.26,-0.068,0.0047,-0.00197,1.8,-0.00145,0.00133,7,3,0,0,0,0,1
2020-01-02 07:55,7110.57,7131.48,0.2941,True,2,False,True,3.0,33.42,0.126,0.0065,-0.00192,0.87,-0.00156,0.00177,7,3,0,0,0,0,1
2020-01-02 11:20,7153.83,7145.33,-0.1188,False,6,True,False,2.5,39.53,0.137,0.0035,-0.00149,0.72,-0.00151,0.00113,11,3,1,0,0,0,1
2020-01-02 11:50,7145.33,7117.92,-0.3836,False,20,True,False,3.0,32.9,0.071,0.0048,-0.00229,0.79,-0.00064,0.001,11,3,0,0,0,0,1
2020-01-02 13:30,7117.92,7137.03,0.2685,True,12,False,True,3.0,26.46,-0.382,0.0053,-0.00383,5.27,-0.00486,0.00114,13,3,0,0,0,0,1
2020-01-02 15:35,7121.84,7111.98,-0.1384,False,7,True,False,2.0,43.14,0.047,0.0043,-0.002,1.29,-0.00185,0.0015,15,3,0,0,0,0,1
2020-01-02 16:10,7111.98,7066.76,-0.6358,False,7,True,False,3.0,27.57,-0.076,0.0055,-0.00321,1.53,-0.00266,0.00163,16,3,0,0,0,0,1
2020-01-02 16:45,7066.76,7052.1,-0.2075,False,1,True,False,3.0,28.38,-0.428,0.0086,-0.00379,11.11,-0.00803,0.00258,16,3,0,0,0,0,1
2020-01-02 16:50,7052.1,6989.82,-0.8831,False,2,True,False,3.0,18.43,-0.274,0.0122,-0.00507,2.59,-0.00935,0.00272,16,3,0,0,0,0,1
2020-01-02 17:00,6989.82,6975.27,-0.2082,False,1,True,False,3.0,12.11,-0.281,0.0213,-0.00859,7.49,-0.01089,0.00385,17,3,0,0,0,0,1
2020-01-02 17:05,6975.27,6937.02,-0.5484,False,3,True,False,3.0,11.28,-0.155,0.0269,-0.00979,1.49,-0.01089,0.00404,17,3,0,0,0,0,1
2020-01-02 17:20,6937.02,6954.46,0.2514,True,2,False,True,3.0,8.83,-0.013,0.0382,-0.01305,1.32,-0.00548,0.00435,17,3,0,0,0,0,1
2020-01-02 17:30,6954.46,6978.56,0.3465,True,1,False,True,3.0,11.14,0.152,0.042,-0.00936,0.85,-0.00264,0.00464,17,3,0,0,0,0,1
2020-01-02 17:35,6978.56,6967.55,-0.1578,False,2,True,False,2.0,20.38,0.259,0.042,-0.00561,0.67,0.00599,0.00475,17,3,0,0,0,0,1
