trade_num,entry_time,exit_time,direction,entry_price,exit_price,position_usd,pnl,win,exit_reason,bars_held,session
1,2020-01-01 07:30:00,2020-01-01 07:35:00,LONG,7220.15,7212.95,1800,-1.44,False,SL,1,London open
2,2020-01-01 07:35:00,2020-01-01 07:40:00,LONG,7212.95,7199.88,1800,-1.44,False,SL,1,London open
3,2020-01-01 07:40:00,2020-01-01 08:15:00,LONG,7199.88,7188.24,1800,-1.44,False,SL,7,London open
4,2020-01-01 08:15:00,2020-01-01 08:50:00,LONG,7188.24,7191.99,1800,0.94,True,TIME,7,London open
5,2020-01-02 07:05:00,2020-01-02 07:20:00,LONG,7126.62,7116.31,1800,-1.44,False,SL,3,London open
6,2020-01-02 07:20:00,2020-01-02 07:55:00,LONG,7116.31,7110.57,1800,-1.44,False,SL,7,London open
7,2020-01-02 07:55:00,2020-01-02 08:05:00,LONG,7110.57,7131.48,1800,4.5,True,TP,2,London open
8,2020-01-02 13:30:00,2020-01-02 14:05:00,LONG,7117.92,7131.45,1800,3.42,True,TIME,7,NY open
9,2020-01-02 16:10:00,2020-01-02 16:45:00,LONG,7111.98,7066.76,1800,-1.44,False,SL,7,out of session
10,2020-01-03 14:05:00,2020-01-03 14:15:00,LONG,7273.18,7245.89,1800,-1.44,False,SL,2,NY open
11,2020-01-03 14:15:00,2020-01-03 14:40:00,LONG,7245.89,7274.15,1800,4.5,True,TP,5,NY open
12,2020-01-04 07:25:00,2020-01-04 07:55:00,LONG,7328.62,7348.11,1800,4.5,True,TP,6,London open
13,2020-01-04 13:30:00,2020-01-04 14:05:00,LONG,7296.28,7309.4,1800,3.24,True,TIME,7,NY open
14,2020-01-04 14:20:00,2020-01-04 14:40:00,LONG,7300.09,7323.12,1800,4.5,True,TP,4,NY open
15,2020-01-05 08:45:00,2020-01-05 09:00:00,LONG,7430.53,7415.52,1800,-1.44,False,SL,3,London open
16,2020-01-05 09:00:00,2020-01-05 09:35:00,LONG,7415.52,7419.48,1800,0.96,True,TIME,7,London open
17,2020-01-05 09:35:00,2020-01-05 09:40:00,LONG,7419.48,7411.35,1800,-1.44,False,SL,1,London open
18,2020-01-05 09:40:00,2020-01-05 10:15:00,LONG,7411.35,7424.61,1800,3.22,True,TIME,7,out of session
19,2020-01-06 13:55:00,2020-01-06 14:00:00,LONG,7528.64,7522.26,1800,-1.44,False,SL,1,NY open
20,2020-01-06 14:00:00,2020-01-06 14:20:00,LONG,7522.26,7544.89,1800,4.5,True,TP,4,NY open
21,2020-01-06 15:45:00,2020-01-06 15:55:00,LONG,7527.25,7519.99,1800,-1.44,False,SL,2,NY open
22,2020-01-06 15:55:00,2020-01-06 16:05:00,LONG,7519.99,7512.0,1800,-1.44,False,SL,2,NY open
23,2020-01-06 16:05:00,2020-01-06 16:10:00,LONG,7512.0,7534.59,1800,4.5,True,TP,1,NY open
24,2020-01-07 09:45:00,2020-01-07 09:55:00,LONG,7868.04,7856.26,1800,-1.44,False,SL,2,London open
25,2020-01-07 09:55:00,2020-01-07 10:30:00,LONG,7856.26,7873.44,1800,3.94,True,TIME,7,out of session
26,2020-01-07 13:30:00,2020-01-07 13:45:00,LONG,7829.0,7856.34,1800,4.5,True,TP,3,NY open
27,2020-01-07 15:25:00,2020-01-07 15:30:00,LONG,7831.37,7799.66,1800,-1.44,False,SL,1,NY open
28,2020-01-07 15:30:00,2020-01-07 15:35:00,LONG,7799.66,7777.14,1800,-1.44,False,SL,1,NY open
29,2020-01-07 15:35:00,2020-01-07 15:50:00,LONG,7777.14,7762.98,1800,-1.44,False,SL,3,NY open
30,2020-01-07 15:50:00,2020-01-07 16:00:00,LONG,7762.98,7794.65,1800,4.5,True,TP,2,NY open
31,2020-01-07 16:00:00,2020-01-07 16:05:00,LONG,7794.65,7825.13,1800,4.5,True,TP,1,NY open
32,2020-01-08 07:30:00,2020-01-08 07:45:00,LONG,8316.15,8296.59,1800,-1.44,False,SL,3,London open
