trade_num,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,position_usd,pnl,win,exit_reason,bars_held,equity_after
1,2026-04-03 08:49:44,2026-04-03 09:13:59,LONG,66909.24219,66881.07031,66855.71479,67076.51529,1700.0,-0.72,False,TIME,24,9999.28
2,2026-04-03 09:13:59,2026-04-03 09:24:04,LONG,66881.07031,66825.46094,66827.56546,67048.27299,1039.93,-0.83,False,SL,10,9998.45
3,2026-04-03 09:24:04,2026-04-03 09:25:04,LONG,66825.46094,66768.13281,66772.00057,66992.52459,2359.63,-1.89,False,SL,1,9996.56
4,2026-04-03 09:25:04,2026-04-03 09:49:19,LONG,66768.13281,66875.54688,66714.71831,66935.05314,2359.19,3.8,True,TIME,24,10000.36
5,2026-04-03 09:50:20,2026-04-03 10:14:38,LONG,66818.71875,66801.84375,66765.26377,66985.76555,1040.04,-0.26,False,TIME,24,10000.1
6,2026-04-03 10:14:38,2026-04-03 10:33:54,LONG,66801.84375,66696.44531,66748.40228,66968.84836,1040.01,-0.83,False,SL,16,9999.27
7,2026-04-03 10:33:54,2026-04-03 10:59:25,LONG,66696.44531,66866.85156,66643.08816,66863.18643,1039.92,2.6,True,TP,23,10001.87
8,2026-04-03 12:51:49,2026-04-03 12:53:50,LONG,66807.46875,66658.375,66754.02278,66974.48742,1040.19,-0.83,False,SL,2,10001.03
9,2026-04-03 12:53:50,2026-04-03 13:12:02,LONG,66658.375,66590.13281,66605.0483,66825.02094,2360.24,-1.89,False,SL,18,9999.14
10,2026-04-03 13:12:02,2026-04-03 13:36:20,LONG,66590.13281,66655.61719,66536.86071,66756.60814,2359.8,2.32,True,TIME,24,10001.47
11,2026-04-03 13:36:20,2026-04-03 13:37:21,LONG,66655.61719,66595.85156,66602.29269,66822.25623,1040.15,-0.83,False,SL,1,10000.63
12,2026-04-03 13:37:21,2026-04-03 13:51:29,LONG,66595.85156,66534.32031,66542.57488,66762.34119,2360.15,-1.89,False,SL,14,9998.75
